globalID,docID,annotID,text,label,supports
42,1,T9,"Die Sensoren und Aktuaren, die bei Nutreno verwendet werden, erlauben die Verknüpfung zwischen Real und Informationswelt und das System erleichtert ganz klar das Leben der Kunden, indem die Bedürfnisse des Menschen selbständig erkennt werden Österle/Senger, 2011, S. 87.",Claim,None
42,1,T10,"Die Sensoren und Aktuaren, die bei Nutreno verwendet werden, erlauben die Verknüpfung zwischen Real und Informationswelt und das System erleichtert ganz klar das Leben der Kunden, indem die Bedürfnisse des Menschen selbständig erkennt werden Österle/Senger, 2011, S. 87.",Premise,T9
43,1,T11,"Zudem erscheint die angebotene Lösung dem Kunden wie aus einer Hand, indem der Blut automatisch analysiert wird und die Informationen und Bestellung ondemand bereitgestellt werden.",Claim,None
43,1,T12,"Zudem erscheint die angebotene Lösung dem Kunden wie aus einer Hand, indem der Blut automatisch analysiert wird und die Informationen und Bestellung ondemand bereitgestellt werden.",Premise,T11
44,1,T14,"Da die Informationsverarbeitung automatisch erfolgt, was eine integrierte Lösung nach Osterie/Sprenger charakterisiert, gibt es bei Nutreno sozusagen keine Administrationsarbeit oder Datenerfassung zu machen.",Premise,T21
44,1,T21,"Da die Informationsverarbeitung automatisch erfolgt, was eine integrierte Lösung nach Osterie/Sprenger charakterisiert, gibt es bei Nutreno sozusagen keine Administrationsarbeit oder Datenerfassung zu machen.",Premise,T11
45,1,T13,Dies stellt einen erheblichen Vorteil für den Kunden dar.,Premise,T12
46,1,T22,"Ausserdem ist die folgende Idee von Österle/Senger in casu anwendbar Nicht der Konsument soll die Technik bedienen, sondern die Technik dem Konsumenten dienen 2011, S. 80.Schwächen und VerbesserungsvorschlägeWie es mit der Bestellung bei der Einzelhändler funktioniert Partnerschaften,",Claim,None
46,1,T23,"Ausserdem ist die folgende Idee von Österle/Senger in casu anwendbar Nicht der Konsument soll die Technik bedienen, sondern die Technik dem Konsumenten dienen 2011, S. 80.Schwächen und VerbesserungsvorschlägeWie es mit der Bestellung bei der Einzelhändler funktioniert Partnerschaften,",Premise,T22
47,1,None,Kommissionen usw. könnte besser beschrieben werden.,None,None
48,1,None,Business Model CanvaStärken,None,None
49,1,None,Der Business Model Canova ist gut gestaltet und ausführlich.,None,None
50,1,T17,Value proposition und key activities sehr ausführlich beschrieben.,Premise,T16
51,1,None,Schwächen und VerbesserungsvorschlägeDer,None,None
52,1,None,Business Model Canova könnte besser nach den unterschiedlichen Kundensegmente erarbeitet werden.,None,None
53,1,T19,Die Keapartners könnten evtl. noch erweitert werden Werber,Claim,None
54,1,None,zB. Revenue streams könnte noch weiterentwickelt werden,None,None
55,1,None,"Deals mit Werber, Kommissionen von Einzelhändler etc.",None,None
56,2,None,review11,None,None
57,2,T1,Das Geschäftsmodell von Nutreno erscheint mir sehr gut durchdacht.,Claim,None
58,2,T2,"Mir gefällt, dass der Autor sich auf bereits bestehende Technologien beruft, also z.B. dass in der DiabetesForschung bereits ähnliche verwendet werden.",Premise,T1
58,2,T3,"Mir gefällt, dass der Autor sich auf bereits bestehende Technologien beruft, also z.B. dass in der DiabetesForschung bereits ähnliche verwendet werden.",Premise,T2
59,2,T4,"Nutreno nutzt diese und liefert dem Kunden eine äusserst bequeme Lösung für die Zubereitung von Mahlzeiten, dank der Blutanalyse massgeschneidert auf den Kunden  dank Präferenzangaben auch personalisiert auf die geschmacklichen Vorlieben.",Premise,T6
59,2,T5,"Nutreno nutzt diese und liefert dem Kunden eine äusserst bequeme Lösung für die Zubereitung von Mahlzeiten, dank der Blutanalyse massgeschneidert auf den Kunden  dank Präferenzangaben auch personalisiert auf die geschmacklichen Vorlieben.",Premise,T4
60,2,T6,Dies trifft meiner Meinung nach genau das Ziel einer WellBeingLösung.,Claim,None
61,2,T7,Der HeimLieferService macht das Leben des Kunden zusätzlich bequem und einfach.,Premise,T6
62,2,T8,Auch macht das RevenueModell in diesem Geschäftsmodell Sinn  durch das Freemium,Premise,T1
63,2,None,"Modell werden die Kunden zunächst neugierig gemacht und danach bei Gefallen dazu verleitet, auf das Premium Modell umzusteigen.",None,None
64,2,None,Kritisch stehe ich noch den Sensorengegenüber.,None,None
65,2,None,"Kann man die so herstellen, dass sie bezahlbar sind und nicht die Kosten sprengen?",None,None
66,2,None,Das PremiumModell sollte ja trotzdem bezahlbar sein.,None,None
67,2,None,"Weiter würde ich in der zweiten Version gross darauf hinweisen, dass die Daten sensibel behandelt werden und an niemanden weitergegeben werden.",None,None
68,2,T13,"Gerade bei solchen Gesundheitsdaten wird es sicherlich einige Skeptiker geben, die zögern, bevor sie sich diese App anschauen.",Claim,None
69,2,T14,"Es gibt sicherlich Menschen, die es nicht mögen oder gar nicht dazu fähig sind, sich selber Blut zu nehmen.",Claim,None
70,2,None,"Gerade im DiabetesBereich kann man auch gut mit Urinanalyse arbeiten  möglicherweise wäre das ein Ausbau des Geschäftsmodells, wenn es gut funktionieren würde?",None,None
71,2,None,"Beim Business Model Canvas verstehe ich nicht ganz, weshalb z.B. im Feld Key Partners auch noch die Key Resources, Key Suppliers und Key Activities aufgelistet werden.",None,None
72,2,None,Möglicherweise kurz erklären?,None,None
73,2,None,"Für die zweite Version würde ich zudem noch etwas erläutern, mit welchen Einzelhändlern eine Partnerschaft eingegangen werden soll und inwiefern das Anstellungsverhältnis mit Ernährungsexperten und AppEntwicklern aussehen soll Festanstellung oder Outsourcing?",None,None
74,2,None,.,None,None
75,3,None,review12,None,None
76,3,None,Stärken,None,None
77,3,T1,"Wie gesagt, erfüllt mMn die wichtigsten Punkte gute  sehr durchdachte Idee klarer customer need auf beiden Seiden b2b Panik, Umsatzeinbussen, starke Online Konkurrenz, wenig Knowhow, angebot, dass direkt revenuerelevant ist.",Claim,None
77,3,T43,"Wie gesagt, erfüllt mMn die wichtigsten Punkte gute  sehr durchdachte Idee klarer customer need auf beiden Seiden b2b Panik, Umsatzeinbussen, starke Online Konkurrenz, wenig Knowhow, angebot, dass direkt revenuerelevant ist.",Premise,T1
78,3,None,b2c,None,None
79,3,None,Rabatte  keine Kosten.,None,None
80,3,T2,bisher kein dominanter player der brickandmortar ins digitale Zeitalter befördert Multibillion Dollar Markt.,Claim,None
81,3,None,Schwächen  Verbesserungspotential/Denkanstoss,None,None
82,3,T4,Grundsätzlich Du bedienst mit deiner Lösung zwei Märkte twosided market BM.,Premise,T3
83,3,T3,"Die VPs, Relationships, Channels etc. unterscheiden sich daher erheblich.",Claim,None
84,3,T5,"Es gibt extra ein BMC für TwoSided Markets, das halte ich aber für unübersichtlich  unnötig.",Claim,None
85,3,None,"Einfach ist es, zwei Farben zu verwenden beim ausfüllen z.b. rot für b2c, grün für b2b.",None,None
86,3,None,Makes it way easier to digest!,None,None
87,3,None,Richtet sich an alle stationären Einzelhändler >,None,None
88,3,T6,"Ich glaube dass ist für den Anfang zu umfangreich, da verschiedene Einzelhändler komplett andere Kunden  Marketingstrategien fahren e.g. Kleider vs. Lebensmittel vs. Luxusuhren.",Premise,None
89,3,T26,"Ich würde mit einem vorher  analysiertem vertical anfangen, und mit einer konsequenten   konsistent Marketingstrategie gewinnen both",Claim,None
90,3,None,b2c,None,None
91,3,None,b2b.,None,None
92,3,None,Im nächsten Schritt wird dann auf andere verticals ausgedehnt.,None,None
93,3,None,Anpassung der Customer Segments Wieso Beacons?,None,None
94,3,T9,"Da es mehr um Kundenacquise geht, könnte einfaches GPS ausreichen.",Claim,None
94,3,T10,"Da es mehr um Kundenacquise geht, könnte einfaches GPS ausreichen.",Premise,T9
95,3,T13,"Vorteil Du müsstest in den Shops nicht Hardware installieren, sondern könntest ihnen einfach eine App zur Verfügung stellen.",Premise,T9
96,3,T14,"Nachteil Kunde muss GPS aktivieren, nicht ganz so genau aber immernoch sehr genau.",Premise,T9
97,3,None,Revenue Stream,None,None
98,3,None,"Würde die Installation von iBeacons nicht monetarizieren > im Endeffekt geht es langfristig darum, DER Player für brickandmortar Kommunikation mit dem Kunden zu werden.",None,None
99,3,T11,Der Wert der Lösung steigt auf b2cSeite mit der Anzahl an teilnehmenden Stores,Premise,T15
100,3,T12,e.g. man will nicht fünf unterschiedliche Apps.,Premise,T11
101,3,T15,Daher sollten das onboarding von Stores für diese so einfach  günstig wie möglich sein.,Claim,None
102,3,T18,"Der relevante, recurring revenue kommt mit der Nutzung der Platform PPC, Comission Fees etc..",Claim,None
103,3,T19,"Grundsätzlich würd es mMn Sinn machen, dass der Store für jede Werbemessage an einen geeigneten Kunden zahlt.",Claim,None
104,3,T16,Das ist einfach zu verkaufen da idealerweise direkt revenuerelevant für den Store.,Premise,T19
104,3,T17,Das ist einfach zu verkaufen da idealerweise direkt revenuerelevant für den Store.,Premise,T16
105,3,T23,Hier geht es um Netzwerkeffekte.,Premise,T22
106,3,T22,"Aus diesem Grund würde ich auch auf eine Nutzungsgebür verzichten Ausnahme in Form von FreemiumModellen e.g. more branded messages, positioning etc..",Claim,None
107,3,T24,"Revenue Stream Langfristig, die Daten monetarisieren das ebenfalls als Key Resource aufnehmen.",Claim,None
108,3,T25,Manche Kunden sind wertvoller als andere.,Premise,T24
109,3,T20,"GoShop weiss das, da es die Marketingmessages tracken kann und darauf aufbauend die Conversion Rates > verschiedene Preise für verschiedene Kunden mit verschiedenen Interessen.",Premise,T25
109,3,T21,"GoShop weiss das, da es die Marketingmessages tracken kann und darauf aufbauend die Conversion Rates > verschiedene Preise für verschiedene Kunden mit verschiedenen Interessen.",Premise,T20
110,3,T27,Marketingmessage an Kunde A der zweimal die Woche Schuhe im Wert von average 500 CHF kauft sollte teurer sein als die Message an Kunde B der einmal im Jahr Birkenstock für 30 CHF kauft.,Premise,T25
111,3,None,Natürlich müssen diese Tatsachen dann auch getrackt werden e.g. Conversion Rates Channels >,None,None
112,3,None,Unterteilen im BMC in b2c  b2b.,None,None
113,3,None,b2c,None,None
114,3,None,Shoppingbegeisterte Individuen.,None,None
115,3,None,Online,None,None
116,3,None,mMn besonders Influencer,None,None
117,3,None,"e.g. Instagram, Modeblogs, Tumblr etc. b2b",None,None
118,3,None,mMn richtig getroffen.,None,None
119,3,T30,"Verbände richtig erkannt, ganz wichtig, aber schwierig.",Claim,None
119,3,T31,"Verbände richtig erkannt, ganz wichtig, aber schwierig.",Premise,T30
119,3,T32,"Verbände richtig erkannt, ganz wichtig, aber schwierig.",Premise,T30
120,3,None,"Cold Calls, direct sales.",None,None
121,3,None,Customer Segments,None,None
122,3,None,Bessere Unterscheidung zwischen wenigen  viele Filialen.,None,None
123,3,T34,"Große Ketten haben alle solche Apps Migros, Macys etc. ABER PlatformLösung erlaubt",Premise,T33
124,3,None,Unabhängigkeit.,None,None
125,3,T36,Kunde will nicht für jeden Store in der Stadt eine App.,Premise,T35
126,3,None,Daher möglicher Approach mit Einzelhandel mit wenigen Filialen anfangen und langsam die Ketten aufnehmen sobald als Standard durchgesetzt.,None,None
127,3,None,Wo launchen?,None,None
128,3,None,>,None,None
129,3,None,"mMn nicht Schweiz, da Markt viel zu klein.",None,None
130,3,None,TechnologieadaptionsBereitschaft zu gering.,None,None
131,3,T39,Ab in die USA damit oder zumindest DACH,Claim,None
132,3,None,.,None,None
133,3,None,Value,None,None
134,3,T42,"Propositions Stark rückläufige... etc. ist keine VP, sondern ein Fact.",Premise,T41
135,3,None,VPs würde ich insgesamt pointierter  konsequenter formulieren.,None,None
136,3,T40,"Hier nochmal Coole Idee, gut ausgearbeitet, viel Erfolg dabei!",Claim,None
137,4,None,review18,None,None
138,4,None,Die Idee ist im Grundsatz klar,None,None
139,4,None,"Eine App, welche alles im Haushalt automatisiert, was möglich ist.",None,None
140,4,T1,"Dass dies eine gesuchte ConvenienceLösung für Personen mit Vollzeitpensum sein kann, ist leicht nachvollziehbar.",Claim,None
141,4,None,Die folgenden Punkte sehe ich als Stärken dieses Vorschlages,None,None
142,4,T3,"Die Komplexität, welche durch verschiedene bestehende Angebote, Anbieter und Preispläne entsteht, kann durch eine zentrale Steuerung stark verkleinert werden.",Claim,None
143,4,T4,Es wird wahrscheinlich immer mehr Services auch im Bezug auf den Haushalt geben.,Premise,T5
144,4,T5,Entsprechend ist der Zeitpunkt und die Stossrichtig gut gewählt.,Claim,None
145,4,T6,"Es gibt verschiedenste Haushaltsaufgaben, welche grossen Informationsaufwand oder Koordinationsaufwand mit sich bringen  insbesondere wenn man diese durch ServiceAnbieter erledigen lassen möchte.",Premise,T7
146,4,T7,"Ich denke, dass es diese Aufgaben sind, welche den Mehrwert dieser Plattform herausstreichen.",Claim,None
147,4,None,Dazu gehören bspw.,None,None
148,4,None,"BabySitter finden, Nachhilfe, Haustierbetreuung, Blumen/PflanzenService während Ferien, Fahrzeug in die Reparatur bringen/von dort holen, etc.",None,None
149,4,T9,"Der textbasierte 24/7 Kundenservice ist insbesondere dann eine super Sache, wenn es um Reparaturarbeiten geht wie bspw. ein Wasserrohrbruch.",Premise,T8
150,4,None,Weniger gut finde ich hingegen folgende Elemente des Vorschlages,None,None
151,4,T10,"Mit einem Preis für die Subscription Basisprodukt wird eine zusätzliche Einstiegsbarriere geschaffen, welche potenzielle Nutzer nehmen müssen.",Claim,None
152,4,T11,"Es würde sich hier insbesondere zu Beginn des Projektes lohnen, die ServiceProvider per Auftragsquote  oder Auftragspauschale zur Kasse zu bitten.",Claim,None
153,4,T13,"Es ist mir nicht klar, wie dem Kunden gute Dienstleistungen garantiert werden können.",Claim,None
154,4,T12,"Dies ist vor allem wahr, wenn wir von einer multinationalen oder gar weltweit nutzbaren Plattform sprechen.",Premise,T13
155,4,T14,"Menschen haben häufig Vorlieben für Dinge, die sie bereits kennen.",Premise,T12
156,4,T15,"So weiss ich aus Erfahrung, dass man sich bei Handwerkern gerne jene aussucht, von denen man schon Gutes gehört  oder mit welchen man im Idealfall schon gute Erfahrungen gemacht hat.",Premise,T14
157,4,T16,"Es ist mir nicht klar, wie dies über die genannte App passieren würde  vor allem wenn das geografische Einzugsgebiet gross ist.",Premise,T15
158,4,None,Der grösste Teil des vom Nutzer bezahlten Geldes soll an den Service Anbieter gehen.,None,None
159,4,T17,"Ich würde hier versuchen, alternative Wege der Monetarisierung einzubeziehen.",Claim,None
160,4,None,Beispielsweise,None,None
161,4,None,Werbung/Erstnennung,None,None
162,4,None,"von Anbietern, eine WettbewerbSparte hinzufügen  bei welcher Dritte gegen Entgelt ein Gewinnspiel schalten können, Partnerschaftsverträge mit Dritten WaschmittelProduzenten als Exklusivlieferanten bspw..",None,None
163,4,T18,"Bei einer weiteren Ausarbeitung würde ich vorschlagen, eine gratisVersion für GrundFunktionen vorschlagen und die entsprechenden Kosten wo immer möglich auf die entsprechenden ServiceAnbieter abwälzen.",Premise,T17
164,4,T19,"Dies würde meiner Meinung nach eine höhere Akzeptanz bei potenziellen Nutzern schaffen, was wiederum mehr Wert für die Provider schafft.",Premise,T18
165,4,T21,Zudem wäre aus meiner Sicht Transparenz bezüglich des genauen Providers sehr wichtig.,Claim,None
166,4,T22,"Dies hat verschiedene Gründe, wie beispielsweise Der Kunde kann Anbieter wählen, welchen er bereits vertraut und auf jene verzichten, welche er nicht haben möchte.",Premise,T21
167,4,T23,Houzemate ist ab diesem Punkt nicht mehr verantwortlich für die Qualität des Services  und dies verringert den Aufwand.,Premise,T21
168,4,T25,"Ich würde einen sehr starken Fokus auf jene Services legen, die man als Zusätze hinzukaufen kann.",Claim,None
169,4,T26,"Diese würde ich insbesondere in Bereichen sehen, in denen es noch keine kostenlosen Alternativen gibt, der Koordinationsaufwand gross ist, oder der Service noch neu ist.",Claim,None
170,4,T24,"Kurz Die Bereiche, welche für die spezifische Zielgruppe den meisten Nutzen bietet, besonders gut umsetzen und als PremiumPakete verkaufen.",Claim,None
171,5,None,review20,None,None
172,5,None,1 Stärken,None,None
173,5,T1,Die Idee ist verständlich formuliert.,Claim,None
174,5,T2,Es ist klar um was es bei der Geschäftsidee geht.,Premise,T1
175,5,T3,Die Value Proposition ist gut formuliert und zeigt den Mehrwert der App genau auf.,Premise,T1
176,5,None,Beim Channel konzentriert man sich auf das Mobiltelefon.,None,None
177,5,T5,"Dies finde ich auch den richtigen Weg, da man es immer griffbereit hat und so auch spontan Dienstleistungen buchen kann, wenn einem etwas einfällt.",Premise,T4
178,5,T7,"Dabei kommt es nicht darauf an, wo man sich befindet, da man das Telefon eigentlich immer dabei hat.2 Schwächen Bei den Kosten gingen einige Arten vergessen wie zum Beispiel Server Fixkosten oder der 24 Stunden Service Fixkosten, für welchen man auch Löhne bezahlen muss.",Claim,None
178,5,T6,"Dabei kommt es nicht darauf an, wo man sich befindet, da man das Telefon eigentlich immer dabei hat.2 Schwächen Bei den Kosten gingen einige Arten vergessen wie zum Beispiel Server Fixkosten oder der 24 Stunden Service Fixkosten, für welchen man auch Löhne bezahlen muss.",Premise,T5
178,5,T14,"Dabei kommt es nicht darauf an, wo man sich befindet, da man das Telefon eigentlich immer dabei hat.2 Schwächen Bei den Kosten gingen einige Arten vergessen wie zum Beispiel Server Fixkosten oder der 24 Stunden Service Fixkosten, für welchen man auch Löhne bezahlen muss.",Premise,T6
179,5,T8,Ich denke dass bei den Revenuestreams noch mehr möglich ist.,Claim,None
180,5,T9,"Zum Beispiel könnte man sich noch überlegen, ob die Partner vielleicht einen Teil ihres Profits, zum Beispiel 10 an Houzemate abgeben müssen.",Premise,T8
181,5,T10,So müsste der Benutzer am Ende weniger bezahlen und für die Anbieter wäre die Plattform dann nicht mehr gratis.,Premise,T9
182,5,T11,Dies ist analog zum Geschäftsmodell von zum Beispiel dem iTunes Store oder Agenturen im Allgemeinen.,Premise,T9
183,5,None,Bei den Key Resources wurde folgender Satz geschrieben,None,None
184,5,None,Wir brauchen zusätzliche Resourcen um neue Kundenbedürfnisse zu erkennen und zu realisieren.,None,None
185,5,None,"Ich verstehe leider nicht, was genau damit gemeint ist.",None,None
186,5,T13,"Ich denke hier lohnt es sich vielleicht etwas genauer zu beschreiben, was gemeint ist.3",Claim,None
187,5,None,VerbesserungsvorschlägeDie Verbesserungsvorschläge sind bei den Schwächen enthalten.,None,None
188,6,None,review21,None,None
189,6,T1,"Prinzipiell eine gute Idee, einfache und notwendige Aktivitäten im Alltag per App und on demand, sprich zu jeder Zeit und überall, zu bestellen.",Claim,None
190,6,T2,"So entsteht eine Dienstleistung, welche auf der einen Seite das Bedürfnis nach Komfort oder mehr Zeit erfüllt und auf der anderen Seite Arbeiten für Personen schaffen, welche gerne ein zusätzliches Taschengeld oder aber möglicherweise auch ihren Lebensunterhalt damit verdienen möchten.",Premise,T1
191,6,T3,"Dadurch, dass heute sehr viele Seiten kleinanzeigen, anibis, tutti.ch bestehen, würde die App diese verschiedenen Plattformen vereinen und vor allem Nachfrage und Angebot direkt sowie live verbinden.",Claim,None
191,6,T10,"Dadurch, dass heute sehr viele Seiten kleinanzeigen, anibis, tutti.ch bestehen, würde die App diese verschiedenen Plattformen vereinen und vor allem Nachfrage und Angebot direkt sowie live verbinden.",Premise,T3
192,6,T4,"Allerdings besteht bei dieser Idee noch eine Gefahr und zwar, wird nicht ganz klar, wer den Preis bestimmt und wer diesen wie zu akzeptieren hat.",Premise,T5
193,6,T5,"Mit der App läuft man Gefahr, dass Schwarzarbeit dadurch gefördert wird",Premise,T7
194,6,T6,Wer bezahlt die Abgaben? oder dass gar Dumpinglöhne weil sich Ausländer auf diese Jobs bewerben wie bspw. in Grenzgebieten der Schweiz möglich ist bezahlt werden.,Premise,T7
195,6,T7,"Die App müsste dafür Sicherheitsfeatures einbauen wie bspw. die Definition von Mindestlöhnen je nach Branche oder Tätigkeit oder eine After Sales Service in Form von der Gestaltung eines Arbeitsvertrages, um dem einen Riegel vorschieben zu können.",Premise,T8
196,6,T8,"Darauf sollte sicherlich einen Fokus bei der Überarbeitung gelegt werden und zusätzlich auch noch die Ausformulierung im Detail angeschaut werden, da dort suggeriert wird, dass Houzemate alles übernimmt für den Leser hört sich das wie eine Art Roboter an, was es ja nicht ist und daher etwas unklar formuliert ist.",Claim,None
196,6,T9,"Darauf sollte sicherlich einen Fokus bei der Überarbeitung gelegt werden und zusätzlich auch noch die Ausformulierung im Detail angeschaut werden, da dort suggeriert wird, dass Houzemate alles übernimmt für den Leser hört sich das wie eine Art Roboter an, was es ja nicht ist und daher etwas unklar formuliert ist.",Premise,T8
197,7,None,review24,None,None
198,7,T1,1.Eine erste grosse Stärke des eingereichten Geschäftsmodells ist das Aufgreifen von hochrelevanten Markt und Konsumtrends und deren Integration in die eigene WellbeingLösung.,Claim,None
199,7,T2,"Bereits im ersten Satz wird die Entwicklung in Richtung IoT genannt und gibt einem Geschäftsmodell, welches diese Entwicklung auszunutzen versucht, bereits erste Legitimation.",Premise,T1
200,7,T3,Danach schreibt der Verfasser über die zunehmende Relevanz der ServiceOrientierung und stützt seine Idee somit auf einem weiteren hochrelevanten Trend ab.,Premise,T1
201,7,T4,"Eine weitere Stärke ist, dass das Erfordernis eines WellBeingLösungsansatzes meiner Meinung nach ziemlich gut erfüllt wurde.",Claim,None
202,7,T5,"Dies insbesondere durch die Integration vieler verschiedener Anbieter, Produktkategorien und Dienstleistungen.",Premise,T4
203,7,T6,"Es werden wie in der Aufgabenstellung gefordert, vorhandene Angebote genutzt und auf der vorgeschlagenen Plattform auf eine innovative Weise zusammengefasst, so dass sie dem Kunden wie aus einer Hand erscheinen.2.Eine zu nennende Schwäche ist, dass einzelne Aussagen zu vage formuliert sind und beim Leser deswegen zu viele Fragezeichen offen bleiben.",Premise,T5
203,7,T7,"Es werden wie in der Aufgabenstellung gefordert, vorhandene Angebote genutzt und auf der vorgeschlagenen Plattform auf eine innovative Weise zusammengefasst, so dass sie dem Kunden wie aus einer Hand erscheinen.2.Eine zu nennende Schwäche ist, dass einzelne Aussagen zu vage formuliert sind und beim Leser deswegen zu viele Fragezeichen offen bleiben.",Claim,None
204,7,T8,"Beispiele dafür sindDas Ziel der Anwendung ist einerseits den steigenden Dienstleistungsansprüchen der Konsumenten gerecht zu werden und andererseits den unterschiedlichen Anbietern dabei zu helfen, ihre Überkapazitäten abzubauen.",Premise,T7
205,7,None,Fragen die sich da stellen sind,None,None
206,7,None,Welche Dienstleistungsansprüche sind gemeint?,None,None
207,7,T10,Wie soll die Plattform dieses Ansprüchen gerecht werden?,Premise,T8
208,7,T11,Welche Überkapazitäten sind gemeint?,Premise,T8
209,7,T12,"Warum wird davon ausgegangen, das alle Anbieter Überkapazitäten haben?",Premise,T7
210,7,T13,"Mobilitätsanbieter wie Hauslieferdienste, Privatpersonen oder auch herkömmliche Taxifahrer können das Angebot entweder annehmen oder ein Gegenangebot mit angepassten Preis offerieren.",Premise,T12
211,7,T14,Was wäre der Vorteil einer solchen Anwendung gegenüber anderen Anbietern von Fahrdienstleistungen wie z.B. Uber?,Premise,T13
212,7,T15,Wieso werden Hauslieferdienste als Beispiel für einen Mobilitätsanbieter genannt?,Premise,T7
213,7,T16,"Der Kunde kann über GoOn bei jedem Produkt angeben ob es innert kurzer, mittlerer oder langer Frist bei ihm ankommen muss...",Premise,T18
214,7,T17,Wieso sollte sich der Kunde dafür entscheiden ein Produkt erst in der langen Frist geliefert zu bekommen?,Premise,T16
215,7,T18,Dies ist meiner Meinung im Widerspruch zu den Trends sameday und nextdaydelivery.,Premise,None
216,7,T19,"Eine weitere Schwäche ist, dass der BMC teilweise nicht im Einklang zur Freitextbeschreibung ausgefüllt wurde.",Claim,None
